ID,productCode,productName,category_ID,active,unitPrice,createdAt,createdBy,modifiedAt,modifiedBy
10000001-0001-4001-8001-000000000012,WH-001,Whole Wheat Flour 10 KG,33333333-3333-3333-3333-333333333333,true,650,2024-02-03T09:00:00Z,onboarding.srv@tafe.com,2024-03-03T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000013,SU-001,Premium Sugar 5 KG,33333333-3333-3333-3333-333333333333,true,280,2024-02-05T09:00:00Z,onboarding.srv@tafe.com,2024-03-05T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000014,CO-001,Sunflower Cooking Oil 5 L,33333333-3333-3333-3333-333333333333,true,720,2024-02-07T09:00:00Z,onboarding.srv@tafe.com,2024-03-07T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000015,TE-001,Premium Tea 1 KG,33333333-3333-3333-3333-333333333333,true,480,2024-02-09T09:00:00Z,onboarding.srv@tafe.com,2024-03-09T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000016,GO-001,Gold Necklace,44444444-4444-4444-4444-444444444444,true,125000,2024-02-11T09:00:00Z,onboarding.srv@tafe.com,2024-03-11T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000017,GO-002,Gold Ring,44444444-4444-4444-4444-444444444444,true,55000,2024-02-13T09:00:00Z,onboarding.srv@tafe.com,2024-03-13T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000018,SI-001,Silver Bracelet,44444444-4444-4444-4444-444444444444,true,8500,2024-02-15T09:00:00Z,onboarding.srv@tafe.com,2024-03-15T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000019,GO-003,Gold Earrings,44444444-4444-4444-4444-444444444444,true,42000,2024-02-17T09:00:00Z,onboarding.srv@tafe.com,2024-03-17T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000020,SI-002,Silver Chain,44444444-4444-4444-4444-444444444444,true,12000,2024-02-19T09:00:00Z,onboarding.srv@tafe.com,2024-03-19T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000021,CO-002,Cotton Shirt,55555555-5555-5555-5555-555555555555,true,1499,2024-02-21T09:00:00Z,onboarding.srv@tafe.com,2024-03-21T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000022,DE-001,Denim Jeans,55555555-5555-5555-5555-555555555555,true,2299,2024-02-23T09:00:00Z,onboarding.srv@tafe.com,2024-03-23T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000023,SP-001,Sports Jacket,55555555-5555-5555-5555-555555555555,true,3499,2024-02-25T09:00:00Z,onboarding.srv@tafe.com,2024-03-25T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000024,FO-001,Formal Trousers,55555555-5555-5555-5555-555555555555,true,1899,2024-02-27T09:00:00Z,onboarding.srv@tafe.com,2024-03-27T09:00:00Z,onboarding.srv@tafe.com
10000001-0001-4001-8001-000000000025,CU-001,Casual Hoodie,55555555-5555-5555-5555-555555555555,true,2499,2024-03-01T09:00:00Z,onboarding.srv@tafe.com,2024-03-30T09:00:00Z,onboarding.srv@tafe.com
